valid,epoch,epoch_utc,lat_deg,lon_deg,alt_m,air_temp_degC,humdity_percent,humidity_sensor_temp_degC,pres_mb,module_error,rs41_rh_percent,wv_mixing_ratio_ppmv
[bool],[epoch],[iso8601],[deg],[deg],[m],[C],[%],[C],[mb],[#],[%],[ppmv]
True,1786655956,2026-08-13T21:19:16Z,,,,25.0900,31.5500,30.3100,767.9600,0,42.7985,18082.1663
True,1786655957,2026-08-13T21:19:17Z,,,,25.0900,31.5400,30.3100,768.0400,0,42.7849,18074.4146
True,1786655958,2026-08-13T21:19:18Z,,,,25.0700,31.6100,30.2900,767.9000,0,42.8819,18097.4985
True,1786655959,2026-08-13T21:19:19Z,,,,25.1000,31.5300,30.3100,767.9600,0,42.7459,18070.4967
True,1786655960,2026-08-13T21:19:20Z,,,,25.0900,31.5500,30.3000,767.9800,0,42.7740,18071.1462
True,1786655961,2026-08-13T21:19:21Z,,,,25.0900,31.5500,30.3000,768.1200,0,42.7740,18067.7930
True,1786655962,2026-08-13T21:19:22Z,,,,25.0900,31.6100,30.2900,768.0600,0,42.8308,18093.6603
True,1786655963,2026-08-13T21:19:23Z,,,,25.1000,31.5600,30.2900,768.0800,0,42.7376,18064.0442
True,1786655964,2026-08-13T21:19:24Z,,,,25.1000,31.5700,30.3000,768.0000,0,42.7756,18082.3295
True,1786655965,2026-08-13T21:19:25Z,,,,25.0900,31.5700,30.2900,767.9400,0,42.7766,18073.2252
True,1786655966,2026-08-13T21:19:26Z,,,,25.1000,31.5700,30.3000,768.0000,0,42.7756,18082.3295
True,1786655967,2026-08-13T21:19:27Z,,,,25.0900,31.5400,30.3000,767.9800,0,42.7604,18065.3150
True,1786655968,2026-08-13T21:19:28Z,,,,25.0900,31.5600,30.3000,767.9000,0,42.7875,18078.8949
True,1786655969,2026-08-13T21:19:29Z,,,,25.0900,31.5400,30.3100,768.1400,0,42.7849,18072.0191
True,1786655970,2026-08-13T21:19:30Z,,,,25.0900,31.5700,30.2900,767.9600,0,42.7766,18072.7460
True,1786655971,2026-08-13T21:19:31Z,,,,25.1000,31.5200,30.3100,768.0800,0,42.7323,18061.7886
True,1786655972,2026-08-13T21:19:32Z,,,,25.1000,31.5600,30.2900,768.0200,0,42.7376,18065.4810
True,1786655973,2026-08-13T21:19:33Z,,,,25.1000,31.5500,30.3100,767.9800,0,42.7730,18081.6869
